,ra,dec,Vmag,plx,sy_dist,name
237,304.5291175,40.732083361111115,5.84,1.68,595.2380952380953,HD 193322                          
238,325.50451287211996,35.51019997682,5.84,1.6823,594.4243000653868,V* V460 Cyg                        
239,116.14237358080999,-24.67407959136,5.6,1.6857,593.2253663166637,V* V390 Pup                        
240,309.68327716412995,13.315126516980001,5.71,1.6865,592.9439667951378,* tet Del                          
241,312.86765990348994,28.25050545082,5.77,1.6885,592.2416345869115,V* T Vul                           
242,180.21316317341999,-19.65898117643,5.264,1.6891,592.0312592504885,* 31 Crt                           
243,117.54406852992999,-9.18344193552,5.598,1.6992,588.5122410546139,HD 63752                           
244,86.49956259956,-32.30643396161,5.18,1.7024,587.406015037594,* mu. Col                          
245,119.41710944213999,-30.33457124228,4.79,1.7157,582.8524800373026,* chi Pup                          
246,304.23035707823993,40.36507590345,5.236,1.7177,582.1738371077604,HD 193092                          
247,156.70383947669998,-54.87730634236,5.546,1.7179,582.1060597240817,HD 90677                           
248,173.67704266666664,16.796915444444448,5.94,1.72,581.3953488372093,* 90 Leo                           
249,23.35711493266,58.327346989990005,5.709,1.7207,581.1588307084327,HD 9353                            
250,182.74991498647998,81.7098305941,5.955,1.7267,579.139398853304,HD 105943                          
251,111.46333306125,-5.77496193264,5.962,1.7289,578.4024524263983,HD 58526                           
252,282.74380188528994,-9.77409656825,5.836,1.731,577.7007510109763,HD 174464                          
253,273.30291010635995,-41.336110338530005,5.462,1.7423,573.9539688916949,V* V692 CrA                        
254,283.6796401973133,-15.603036856645833,5.086,1.7668,565.9950192438306,HD 175156                          
255,95.15099912861999,-34.14414357456,5.521,1.7701,564.9398339076888,HD 44506                           
256,333.03372377862996,24.95064255988,5.923,1.7704,564.8441030275644,HD 210762                          
257,278.47285965290996,-24.032281995149997,5.461,1.7715,564.4933672029354,* 24 Sgr                           
258,305.5570909820833,40.25667915638889,2.23,1.78,561.7977528089888,* gam Cyg                          
259,92.38515413697999,22.190265009410002,5.904,1.7811,561.4507888383583,HD 42049                           
260,130.91780423934,-49.822800832000006,5.16,1.7815,561.3247263541958,* D Vel                            
261,187.91804315106,-59.42392352509,5.53,1.7843,560.4438715462646,* 35 Cru                           
262,111.74784452360998,-23.086024910979997,5.56,1.7919,558.0668564093978,HD 58978                           
263,182.22745537675,-41.2316032809,5.498,1.7927,557.8178167010655,HD 105521                          
264,151.83313496465664,16.762663324555,3.41,1.7965,556.6379070414696,* eta Leo                          
265,130.15428340004624,-59.76100474516722,4.313,1.8023,554.8465849192698,* d Car                            
266,97.14203410228623,30.49303599912778,5.55,1.8153,550.8731339172589,* 48 Aur                           
267,152.94358165134,-58.060544086789996,5.75,1.816,550.6607929515418,HD 88661                           
268,289.4318141273,23.02553938953,5.43,1.8212,549.0885130683066,* 2 Vul                            
269,353.7460116312099,71.64204416773,5.84,1.8264,547.5251861585633,HD 221861                          
